"year","boat","volume","type","country","new_loc","port","lon","lat","sea_basin","continent","nautical_miles"
1859,7925,223647,"vessel","austria","Austria-Hungary","Other Austro-Hungarian ports",13.776818,45.649526,"Mediterranean","Central Europe",0
1859,836,215951,"steamboat","austria","Austria-Hungary","Other Austro-Hungarian ports",13.776818,45.649526,"Mediterranean","Central Europe",0
1859,505,26810,"vessel","papal state","Italy","Ancona",13.5170982,43.6170137,"Mediterranean","South Europe",130
1859,1,400,"steamboat","papal state","Italy","Ancona",13.5170982,43.6170137,"Mediterranean","South Europe",130
1859,413,22129,"vessel","neaples","Italy","Neaples",14.268124,40.851775,"Mediterranean","South Europe",808
1859,77,12978,"vessel","sicily","Italy","Palermo",13.3534422,38.11127,"Mediterranean","South Europe",753
1859,47,3716,"vessel","ionic islands","Greece","Zakynthos",20.899876,37.787033,"Mediterranean","South Europe",593
1859,51,11849,"steamboat","ionic islands","Greece","Zakynthos",20.899876,37.787033,"Mediterranean","South Europe",593
1859,114,9272,"vessel","greece","Greece","Thessaloniki",22.9352716,40.6403167,"Mediterranean","South Europe",1056
1859,4,424,"vessel","toscana","Italy","Livorno",10.3160295,43.5426309,"Mediterranean","South Europe",1047
1859,20,2657,"vessel","sardegna","Italy","Cagliari",9.1128513,39.2169525,"Mediterranean","South Europe",947
1859,49,9154,"vessel","mediterranean france","France","Marseille",5.3699525,43.2961743,"Mediterranean","South Europe",1210
1859,17,2814,"vessel","atlantic france","France","Bordeaux",-0.5805000,44.8404400,"North Atlantic","North Europe",2804
1859,1,374,"vessel","algeria","Algeria, France","Algiers",3.05762,36.699729,"Mediterranean","Africa",1254
1859,6,1606,"vessel","spain","Spain","Barcelona",2.1771353,41.3825596,"Mediterranean","South Europe",1313
1859,5,2821,"steamboat","spain","Spain","Barcelona",2.1771353,41.3825596,"Mediterranean","South Europe",1313
1859,8,300,"vessel","uk malta","Malta, UK","La Valletta",14.514553,35.898908,"Mediterranean","South Europe",730
1859,135,40305,"vessel","uk","UK","London",-0.1276473,51.5073219,"North Sea","North Europe",2968
1859,29,20673,"steamboat","uk","UK","London",-0.1276473,51.5073219,"North Sea","North Europe",2968
1859,32,4987,"vessel","low countries","Netherlands","Rotterdam",4.488623269,51.92779805,"North Sea","North Europe",3009
1859,5,1912,"steamboat","low countries","Netherlands","Rotterdam",4.488623269,51.92779805,"North Sea","North Europe",3009
1859,15,4216,"vessel","belgium","Belgium","Ostend",2.928656,51.21543,"North Sea","North Europe",2933
1859,9,928,"vessel","hamburg","Germany","Hamburg",10.000654,53.5503414,"North Sea","North Europe",3262
1859,5,998,"vessel","prussia","Germany","Rostok",12.1286127,54.0924445,"Baltic Sea","North Europe",3669
1859,7,1209,"vessel","sweden and norway","Sweden and Norway","Göteborg",11.97456,57.70887,"Baltic Sea","North Europe",3453
1859,64,18506,"vessel","russia black sea","Russia","Novorossiysk",37.7690711,44.7239578,"Black sea","East Europe",1608
1859,3,311,"steamboat","russia black sea","Russia","Novorossiysk",37.7690711,44.7239578,"Black sea","East Europe",1608
1859,275,30198,"vessel","turkey","Turkey","Izmir",27.144474,38.4153421,"Mediterranean","Middle East",1007
1859,99,47479,"steamboat","turkey","Turkey","Izmir",27.144474,38.4153421,"Mediterranean","Middle East",1007
1859,20,3055,"vessel","moldavia","Romania","Costantza",28.634814,44.159801,"Black sea","East Europe",1348
1859,80,13037,"vessel","valacchia","Romania","Costantza",28.634814,44.159801,"Black sea","East Europe",1348
1859,22,6626,"vessel","egypt","Egypt","Alexandria",29.8943785,31.1990035,"Mediterranean","Africa",1191
1859,17,12313,"steamboat","egypt","Egypt","Alexandria",29.8943785,31.1990035,"Mediterranean","Africa",1191
1859,1,113,"vessel","tripoli","Lybia","Tripoli",13.191338,32.887209,"Mediterranean","Africa",916
1859,7,1063,"vessel","s domingo","Dominican Republic","Santo Domingo",-69.883565,18.526127,"North Atlantic","Central America",5217
1859,8,2538,"vessel","american spain","Cuba, Spain","Havana, Cuba",-82.3658561,23.1379911,"North Atlantic","Central America",5677
1859,25,12092,"vessel","usa","USA","New York",-73.9865811,40.7305991,"North Atlantic","North America",4854
1859,1,111,"vessel","venezuela","Venezuela","La Guaira",-66.921363,10.587508,"North Atlantic","South America",5300
1859,28,5772,"vessel","brazil","Brazil","Rio de Janeiro",-43.2093726,-22.9110136,"South Atlantic","South America",5838
1859,2,635,"vessel","peru","Peru","Chimbote",-78.589011,-9.063336,"Pacific Ocean","South America",10865
1859,4,1405,"vessel","asian uk","India, UK","Calcutta, India",88.3476023,22.5677459,"Indian Ocean","Asia",5985
1859,1,409,"vessel","asian low countries","Indonesia, Netherlands","Jakarta",106.845599,-6.208763,"Indian Ocean","Asia",6568
1859,1,400,"vessel","sumatra","Indonesia, Netherlands","Jakarta",106.845599,-6.208763,"Indian Ocean","Asia",6568
1860,7288,206700,"vessel","austria","Austria-Hungary","Other Austro-Hungarian ports",13.776818,45.649526,"Mediterranean","Central Europe",0
1860,725,137065,"steamboat","austria","Austria-Hungary","Other Austro-Hungarian ports",13.776818,45.649526,"Mediterranean","Central Europe",0
1860,412,2230,"vessel","papal state","Italy","Ancona",13.5170982,43.6170137,"Mediterranean","South Europe",130
1860,10,2002,"steamboat","papal state","Italy","Ancona",13.5170982,43.6170137,"Mediterranean","South Europe",130
1860,414,21200,"vessel","neaples","Italy","Neaples",14.268124,40.851775,"Mediterranean","South Europe",808
1860,75,12510,"vessel","sicily","Italy","Palermo",13.3534422,38.11127,"Mediterranean","South Europe",753
1860,24,2122,"vessel","ionic islands","Greece","Zakynthos",20.899876,37.787033,"Mediterranean","South Europe",593
1860,53,10627,"steamboat","ionic islands","Greece","Zakynthos",20.899876,37.787033,"Mediterranean","South Europe",593
1860,183,19122,"vessel","greece","Greece","Thessaloniki",22.9352716,40.6403167,"Mediterranean","South Europe",1056
1860,1,406,"steamboat","greece","Greece","Thessaloniki",22.9352716,40.6403167,"Mediterranean","South Europe",1056
1860,6,601,"vessel","toscana","Italy","Livorno",10.3160295,43.5426309,"Mediterranean","South Europe",1047
1860,21,2190,"vessel","sardegna","Italy","Cagliari",9.1128513,39.2169525,"Mediterranean","South Europe",947
1860,46,9050,"vessel","mediterranean france","France","Marseille",5.3699525,43.2961743,"Mediterranean","South Europe",1210
1860,1,500,"steamboat","mediterranean france","France","Marseille",5.3699525,43.2961743,"Mediterranean","South Europe",1210
1860,15,2201,"vessel","atlantic france","France","Bordeaux",-0.5805000,44.8404400,"North Atlantic","North Europe",2804
1860,6,806,"vessel","spain","Spain","Barcelona",2.1771353,41.3825596,"Mediterranean","South Europe",1313
1860,1,104,"vessel","portugal","Portugal","Lisbon",-9.1365069,38.7077926,"North Atlantic","South Europe",1947
1860,6,1079,"vessel","uk malta","Malta, UK","La Valletta",14.514553,35.898908,"Mediterranean","South Europe",730
1860,186,56294,"vessel","uk","UK","London",-0.1276473,51.5073219,"North Sea","North Europe",2968
1860,25,22731,"steamboat","uk","UK","London",-0.1276473,51.5073219,"North Sea","North Europe",2968
1860,35,5906,"vessel","low countries","Netherlands","Rotterdam",4.488623269,51.92779805,"North Sea","North Europe",3009
1860,9,3401,"steamboat","low countries","Netherlands","Rotterdam",4.488623269,51.92779805,"North Sea","North Europe",3009
1860,12,2601,"vessel","belgium","Belgium","Ostend",2.928656,51.21543,"North Sea","North Europe",2933
1860,12,1946,"vessel","hamburg","Germany","Hamburg",10.000654,53.5503414,"North Sea","North Europe",3262
1860,1,118,"vessel","prussia","Germany","Rostok",12.1286127,54.0924445,"Baltic Sea","North Europe",3669
1860,5,760,"vessel","sweden and norway","Sweden and Norway","Göteborg",11.97456,57.70887,"Baltic Sea","North Europe",3453
1860,41,10501,"vessel","russia black sea","Russia","Novorossiysk",37.7690711,44.7239578,"Black sea","East Europe",1608
1860,237,28050,"vessel","turkey","Turkey","Izmir",27.144474,38.4153421,"Mediterranean","Middle East",1007
1860,115,37291,"steamboat","turkey","Turkey","Izmir",27.144474,38.4153421,"Mediterranean","Middle East",1007
1860,13,2157,"vessel","moldavia","Romania","Costantza",28.634814,44.159801,"Black sea","East Europe",1348
1860,119,21841,"vessel","valacchia","Romania","Costantza",28.634814,44.159801,"Black sea","East Europe",1348
1860,24,6190,"vessel","egypt","Egypt","Alexandria",29.8943785,31.1990035,"Mediterranean","Africa",1191
1860,24,16721,"steamboat","egypt","Egypt","Alexandria",29.8943785,31.1990035,"Mediterranean","Africa",1191
1860,8,1188,"vessel","s domingo","Dominican Republic","Santo Domingo",-69.883565,18.526127,"North Atlantic","Central America",5217
1860,5,837,"vessel","american spain","Cuba, Spain","Havana, Cuba",-82.3658561,23.1379911,"North Atlantic","Central America",5677
1860,41,17146,"vessel","usa","USA","New York",-73.9865811,40.7305991,"North Atlantic","North America",4854
1860,1,341,"vessel","mexico","Mexico","Veracruz",-96.6666669,19.333333,"North Atlantic","Central America",6467
1860,2,201,"vessel","venezuela","Venezuela","La Guaira",-66.921363,10.587508,"North Atlantic","South America",5300
1860,34,6856,"vessel","brazil","Brazil","Rio de Janeiro",-43.2093726,-22.9110136,"South Atlantic","South America",5838
1860,2,719,"vessel","peru","Peru","Chimbote",-78.589011,-9.063336,"Pacific Ocean","South America",10865
1860,12,770,"vessel","asian uk","India, UK","Calcutta, India",88.3476023,22.5677459,"Indian Ocean","Asia",5985
1860,1,351,"vessel","sumatra","Indonesia, Netherlands","Jakarta",106.845599,-6.208763,"Indian Ocean","Asia",6568
1861,7298,213904,"vessel","austria","Austria-Hungary","Other Austro-Hungarian ports",13.776818,45.649526,"Mediterranean","Central Europe",0
1861,652,117982,"steamboat","austria","Austria-Hungary","Other Austro-Hungarian ports",13.776818,45.649526,"Mediterranean","Central Europe",0
1861,593,35402,"vessel","papal state","Italy","Ancona",13.5170982,43.6170137,"Mediterranean","South Europe",130
1861,1,422,"steamboat","papal state","Italy","Ancona",13.5170982,43.6170137,"Mediterranean","South Europe",130
1861,411,26429,"vessel","neaples","Italy","Neaples",14.268124,40.851775,"Mediterranean","South Europe",808
1861,101,17598,"vessel","sicily","Italy","Palermo",13.3534422,38.11127,"Mediterranean","South Europe",753
1861,27,2326,"vessel","ionic islands","Greece","Zakynthos",20.899876,37.787033,"Mediterranean","South Europe",593
1861,52,11002,"steamboat","ionic islands","Greece","Zakynthos",20.899876,37.787033,"Mediterranean","South Europe",593
1861,108,11905,"vessel","greece","Greece","Thessaloniki",22.9352716,40.6403167,"Mediterranean","South Europe",1056
1861,11,2305,"vessel","toscana","Italy","Livorno",10.3160295,43.5426309,"Mediterranean","South Europe",1047
1861,44,10501,"vessel","sardegna","Italy","Cagliari",9.1128513,39.2169525,"Mediterranean","South Europe",947
1861,71,10207,"vessel","mediterranean france","France","Marseille",5.3699525,43.2961743,"Mediterranean","South Europe",1210
1861,7,1547,"vessel","atlantic france","France","Bordeaux",-0.5805000,44.8404400,"North Atlantic","North Europe",2804
1861,3,905,"vessel","algeria","Algeria, France","Algiers",3.05762,36.699729,"Mediterranean","Africa",1254
1861,12,1806,"vessel","spain","Spain","Barcelona",2.1771353,41.3825596,"Mediterranean","South Europe",1313
1861,6,985,"vessel","uk malta","Malta, UK","La Valletta",14.514553,35.898908,"Mediterranean","South Europe",730
1861,1,158,"vessel","uk gibraltar","Gibraltar, UK","Gibraltar",-5.353585,36.140751,"Mediterranean","South Europe",1664
1861,136,63735,"vessel","uk","UK","London",-0.1276473,51.5073219,"North Sea","North Europe",2968
1861,55,51379,"steamboat","uk","UK","London",-0.1276473,51.5073219,"North Sea","North Europe",2968
