type,Lat,Lon,start year,end year,magnitude,extent,description of event
Riot,38.5816° N,121.4944° W,1850,1850,4 killed,,"The Squatters' Riot was an uprising and conflict that took place between squatting settlers and the government of Sacramento, California "
Riot,,,1851,1851,,,Christiana Riot
Riot,1.3521° N,103.8198° E,1851,1851,,,"Anti-Catholic Riots, Singapore"
Riot,39.1031° N,84.5120° W,1853,1853,mob of 600,,"Cincinnati riot. Was triggered by the visit of then-Archbishop. An armed mob of about 500 German men with 100 women following marched on the home of Bishop John Purcell, protesting the visit. One protester was killed and more than 60 were arrested."
Riot,1.3521° N,103.8198° E,1854,1854,"The riots lasted for at least 10 days, and led to the death of approximately 500 people and the destruction of some 300 homes",,The riots stemmed from conflicts between the Hokkien and Teochew communities in Singapore
Riot,38.2527° N,85.7585° W,1855,1855,"22 dead, scores were injured, and much property was destroyed by fire",,"Bloody Monday was August 6, 1855, in Louisville, Kentucky, an election day, when Protestant mobs attacked German and Irish Catholic neighborhoods. These riots grew out of the bitter rivalry between the Democrats and the nativist Know-Nothing Party."
Riot,45.5231° N,122.6765° W,1855,1855,,,"The Portland Rum Riot, also called the Maine Law Riot, was a brief but violent period of civil unrest that occurred in Portland, Maine on June 2, 1855, in response to the Maine law which prohibited the sale and manufacture of alcohol in the state from 1851."
Riot,41.8781° N,87.6298° W,1855,1855,This riot concluded in one known death and about sixty arrests.,,"The Lager Beer Riot occurred in Chicago, Illinois in 1855 after Mayor Levi Boone, great-nephew of Daniel Boone, renewed enforcement of an old local ordinance mandating that taverns be closed on Sundays and led the city council to raise the cost of a liquor license from $50 per year to $300 per year, renewable quarterly"
Riot,39.2904° N,76.6122° W,1856,1856,,,"The Know-Nothing Riot of 1856 occurred in Baltimore in the fall of 1856. Street tensions had escalated sharply over the preceding half-dozen years as neighborhood gangs, most of them operating out of local firehouses, became increasingly involved in party politics. Know-Nothing candidate Thomas Swann was elected Mayor of Baltimore in 1856 amidst violence and a heavily disputed ballot."
Riot,38.9072° N,77.0369° W,1857,1857,ten dead,,"On June 1, 1857, a band of American Party rowdies traveled by train from Baltimore to Washington, D.C. to assist local party members in controlling the polls at a municipal election. The band included members of the Plug Uglies and Rip Raps"
Riot,40.7128° N,74.0059° W,1857,1857,,,"The New York City Police riot of 1857, known at the time as the Great Police riot, was a conflict which occurred between the recently dissolved New York Municipal Police and the newly formed Metropolitan Police on June 16, 1857."
Riot,34.3000° S,48.3000° E,1860,1861,"a mob of 1,500 - 2,000",,"The Lambing Flat riots were a series of violent anti-Chinese demonstrations that took place in the Burrangong region, in New South Wales, Australia."
Riot,53.1355° N,57.6604° W,1861,1861,,,"Election Riots, (St. John's, Newfoundland and Labrador)"
Riot,42.8864° N,78.8784° W,1862,1862,,,"The Buffalo Riot of 1862 was a civil disturbance on the afternoon of August 12, 1862 by Irish and German stevedores against local dock bosses."
Riot,,,1863,1863,,,"The Southern bread riots were events of civil unrest in the Confederacy, perpetrated mostly by women in March and April 1863. During these riots, which occurred in cities throughout the South, women and men violently invaded and looted various shops and stores."
Riot,40.7128° N,74.0059° W,1863,1863,"The riots remain the largest civil and racial insurrection in American history, aside from the Civil War itself",,"The New York City draft riots (July 13–16, 1863), known at the time as Draft Week,[2] were violent disturbances in New York City that were the culmination of working-class discontent with new laws passed byCongress that year to draft men to fight in the ongoing American Civil War."
Riot,35.1495° N,90.0490° W,1866,1866,Federal troops were sent to quell the violence and peace was restored on the third day,,"The Memphis riots of 1866 were the violent events that occurred from May 1 to 3, 1866 in Memphis, Tennessee. The racial violence was ignited by political, social and racial tensions following the American Civil War, in the early stages of Reconstruction"
Riot,29.9511° N,90.0715° W,1866,1866,,,"The New Orleans riot, which occurred on July 30, 1866, was a violent conflict in which whites attacked blacks parading outside the Mechanics Institute in New Orleans, where a reconvened Louisiana Constitutional Convention was being held."
Riot,35.1998° N,87.0308° W,1868,1868,"The riot was just the largest demonstration of the KKK's growing power in Giles County, Tennessee, and the Middle Tennessee area",,"The Pulaski riot was a race riot that occurred in the town of Pulaski, Tennessee, in the summer of 1867"
Riot,31.2313° N,84.2105° W,1868,1868,,,"Camilla became the site of a racially motivated political riot on Saturday, September 19, 1868."
Riot,40.7128° N,74.0059° W,1870,1870,"The riot had caused the deaths of over 60 civilians – mostly Irish laborers – and three Guardsmen. Over 150 people were wounded, including 22 militiamen, 20-some policeman injured by thrown missiles and 4 who were shot, but not fatally. About 100 people were arrested.",,"The Orange Riots took place in Manhattan, New York City in 1870 and 1871, and involved violent conflict between Irish Protestants, called""Orangemen"", and Irish Catholics, along with the New York City Police Department and the New York State National Guard."
Riot,40.7128° N,74.0059° W,1871,1871,"The riot had caused the deaths of over 60 civilians – mostly Irish laborers – and three Guardsmen. Over 150 people were wounded, including 22 militiamen, 20-some policeman injured by thrown missiles and 4 who were shot, but not fatally. About 100 people were arrested.",,"The Orange Riots took place in Manhattan, New York City in 1870 and 1871, and involved violent conflict between Irish Protestants, called""Orangemen"", and Irish Catholics, along with the New York City Police Department and the New York State National Guard."
Riot,32.3643° N,88.7037° W,1871,1871,3o killed,,"The Meridian race riot of 1871 was a race riot in Meridian, Mississippi."
Riot,34.0522° N,118.2437° W,1871,1871,ne of the largest incidents of mass lynching in American history.,,"The Chinese massacre of 1871 was a racially motivated riot on October 24, 1871 in Los Angeles."
Riot,31.5191° N,92.7068° W,1873,1873,"Estimates of the number of dead have varied, ranging from 62 to 153",,confrontation between opposing political forces of the Republicans and Democrats.
Riot,31.8913° N,85.1455° W,1874,1874,"killing at least seven and wounding 70, while driving away more than 1,000 unarmed blacks at the polls.",,"The Election Riot of 1874 or Coup of 1874 took place on election day, November 3, 1874, near Eufaula, Alabama in Barbour County, where blacks comprised a majority of the population and had been electing Republican candidates to office."
Riot,40.7128° N,74.0059° W,1874,1874,"Over 7,000 workers gathered",,"The Tompkins Square Park Riot occurred on January 13, 1874 when the New York City Police Department crushed a demonstration involving thousands of unemployedcivilians"
Riot,29.9511° N,90.0715° W,1874,1874,,,"The Battle of Liberty Place, or Battle of Canal Street, was an attempted insurrection by the Crescent City White League against the ReconstructionLouisiana state government on September 14, 1874"
Riot,,,1876,1876,,,"The Hamburg massacre (or Hamburg riot) was a key event in South Carolina during July 1876, leading up to the last election season of the Reconstruction era. It was the first of a series of civil disturbances, many of which Democrats planned in the majority-black/Republican Edgefield District, to disrupt Republican meetings and suppress black voting through actual and threatened violence."
Riot,33.8688° S,151.2093° E,1879,1879,,,The Sydney Riot of 1879 was a civil disorder that occurred at an early international cricket match
