type,Lat,Lon,start year,end year,magnitude,extent,description of event
Earthquake,42.8,17.7,1850,1850,,,BALKANS NW: CROATIA: STON
Earthquake,27.8,102.3,1850,1850,7.5,,CHINA: SICHUAN: XICHANG
Earthquake,34.7,104.9,1850,1850,5,,CHINA: GANSU PROVINCE: WUSBAN
Earthquake,46.3,8,1851,1851,,,SWITZERLAND
Earthquake,41.2,20.2,1851,1851,,,ALBANIA
Earthquake,10.4,-75.4,1851,1851,,,COLOMBIA: CARTAGENA
Earthquake,36.5,28.8,1851,1851,,,TURKEY: FETHIYE; GREECE: RHODES
Earthquake,-33.32,-71.42,1851,1851,7.1,,CHILE: VALPARAISO
Earthquake,25.1,62.3,1851,1851,,,PAKISTAN: GAVADER
Earthquake,37.8,-122.4,1851,1851,,,CALIFORNIA: NORTHERN
Earthquake,16.2,-61.4,1851,1851,,,GUADELOUPE: POINTE-A-PITRE
Earthquake,-27.35,-70.35,1851,1851,7.2,,CHILE: COPIAPO
Earthquake,41,15.7,1851,1851,,,"ITALY: MELFI, RAPOLLA, BARILE, RIONERO, MT VULTURE"
Earthquake,40.5,19.7,1851,1851,6.6,,"ALBANIA: VLORE (VALONA),BERAT; TURKEY"
Earthquake,40.5,19.7,1851,1851,,,ALBANIA: BERAT
Earthquake,40,-122,1851,1851,,,CALIFORNIA: NORTHERN
Earthquake,36.2,55,1851,1851,,,IRAN: SHAHRUD
Earthquake,-6.5,105.5,1852,1852,6.5,,INDONESIA: JAVA: DJAKARTA; SUMATRA: TELUKBETUNG
Earthquake,17,-96.3,1852,1852,,,MEXICO: OAXACA
Earthquake,27.7,68.8,1852,1852,,,"PAKISTAN: UPPER SINDH, FORT KAHAN, MURREE HILLS"
Earthquake,37.1,58.4,1852,1852,5.8,,IRAN: KHABUSHAN (NW KUCHAN)
Earthquake,37.5,-25.3,1852,1852,,,AZORES: SAO MIGUEL (SAN MIGUEL)
Earthquake,37.5,105.2,1852,1852,6,,CHINA: NINGXIA
Earthquake,20,-75.8,1852,1852,,,CUBA: SANTIAGO DE CUBA
Earthquake,39.9,41.3,1852,1852,7.3,,TURKEY
Earthquake,14,120.5,1852,1852,7.5,,"PHILIPPINES: LUZON: BATAAN, RIZAL, PAMPANGA,MANILA"
Earthquake,1.5,98,1852,1852,6.8,,INDONESIA: SUMATRA: SIBOLGA
Earthquake,-3.7,128.2,1852,1852,,,INDONESIA: AMBON ISLAND
Earthquake,,,1852,1852,,,CALIFORNIA: NORTHERN
Earthquake,-5.25,129.75,1852,1852,8.3,,INDONESIA: MALUKU: BANDANAIRA
Earthquake,-12.1,-77.1,1852,1852,,,PERU
Earthquake,32.5,-115.5,1852,1852,7,,N. MEXICO
Earthquake,17,-100,1852,1852,,,S. MEXICO
Earthquake,38.3,-28.4,1852,1852,,,AZORES: FAIAL
Earthquake,-5,130.5,1852,1852,7,,INDONESIA: BANDANEIRA
Earthquake,13.8,121.1,1852,1852,,,"PHILIPPINES: BATANGAS, N MINDANAO"
Earthquake,35.5,-121,1853,1853,,,CALIFORNIA: SAN SIMEON
Earthquake,35.5,139.5,1853,1853,,,JAPAN: ODAWARA
Earthquake,40.9,15.2,1853,1853,,,"ITALY: CAPOSELE,CALABRITTO,LIONI"
Earthquake,29.6,52.5,1853,1853,,,IRAN: SHIRAZ
Earthquake,40.8,15.2,1853,1853,,,ITALY: S
Earthquake,10.5,-64.2,1853,1853,6.7,,VENEZUELA: CUMANA
