type,Lat,Lon,start year,end year,magnitude,extent,description of event
Coups d'état,,,1851,1851,,,"the president of France, Louis-Napoléon Bonaparte dissolves the Assembly and becomes the sole ruler of the country. In the following year, he would restore the Empire by referendum."
Invasion,,,1851,1852,,,"The Platine War (18 August 1851 – 3 February 1852) was fought between the Argentine Confederation and an alliance consisting of the Empire of Brazil, Uruguay and the Argentine provinces of Entre Ríos and Corrientes. The war was part of a long-running contest between Argentina and Brazil for influence over Uruguay and Paraguay, and hegemony over thePlatine region (areas bordering the Río de la Plata)."
Invasion,,,1853,1856,,,"The Crimean War was a military conflict fought between October 1853 – March 1856 in which Russia lost to an alliance of France, the United Kingdom, the Ottoman Empire, and Sardinia."
Revolution,,,1854,1855,,,"Forces under Juan Álvarez, a 'strong man' of Guerrero state, rebelled against Santa Anna's government, initiating 19 months of guerrilla warfare and civil unrest against Santa Anna. This uprising is termed the Revolution of Ayutla (1854−1855), since it entailed not just a narrow goal, but a more thoroughgoing change in political direction via armed warfare. With Alvarez's success in mobilizing forces in Guerrero, many of which had formed paramilitary units during the U.S. - Mexican War (1846-1848), there followed uprisings in the states of Michoacán, Morelos, Oaxaca, Mexico state. Those then spread to the northern states of Zacatecas, San Luis Potosí, and Nuevo León. When Mexico City denounced Santa Anna, he fled into exile and Alvarez's forces marched into the capital with a ""brigade of rustics called Pintos (ferocious warriors so called because in earlier times, they wore face paint)"
Government Collapse,,,1855,1855,,,Lord Derby's minority government. The government resigned in early 1855 after a large parliamentary majority voted for a select committee to enquire into the incompetent management of the Crimean War.
Invasion,,,1857,1860,,,"The Second Opium War, the Second Anglo-Chinese War, the Second China War, the Arrow War, or the Franco-British expedition to China,[1] was a war pitting the British Empire and the Second French Empire against the Qing dynasty, lasting from 1857 to 1860."
Revolution,,,1857,1857,,,"The Indian rebellion against British East India Company, marking the end of Mughal rule in India. Also known as the 1857 War of Independence and, particularly in the West, the Sepoy Mutiny."
Revolution,,,1857,1860,full-scale civil war,,"The Reform War (Spanish: Guerra de Reforma) in Mexico, during the Second Federal Republic of Mexico, was the three-year civil war (1857 - 1860) between liberals, who had taken power in 1854 under the Plan of Ayutla, and conservatives resisting the legitimacy of the government and its radical restructuring of Mexican laws, known as La Reforma."
Invasion,,,1858,1862,,,"The Cochinchina campaign (French: Campagne de Cochinchine; Spanish: Expedición franco-española a Cochinchina; Vietnamese: Chiến dịch Nam Kỳ; 1858–1862), fought between the French and Spanish on one side and the Vietnamese on the other, began as a limited punitive campaign and ended as a French war of conquest. The war concluded with the establishment of the French colony of Cochinchina, a development that inaugurated nearly a century of French colonial dominance in Vietnam."
Invasion,,,1859,1859,,,"The Second Italian War of Independence, also called the Franco-Austrian War, Austro-Sardinian War or Italian War of 1859 (French: Campagne d'Italie), was fought by the Second French Empire and the Kingdom of Sardinia against the Austrian Empire in 1859 and played a crucial part in the process of Italian unification."
Revolution,,,1859,1859,,,"The Second Italian War of Independence, also called the Franco-Austrian War, Austro-Sardinian War or Italian War of 1859 (French: Campagne d'Italie),[1] was fought by the Second French Empire and the Kingdom of Sardinia against the Austrian Empire in 1859 and played a crucial part in the process of Italian unification."
Civil war,,,1861,1865,,,"The American Civil War was a civil war in the United States fought from 1861 to 1865. The Union faced secessionists in eleven Southern states known as the Confederate States of America. The Union won the war, which remains the bloodiest in U.S. history."
Independence war,,,1863,1865,,,Independence of Dominican Republic from 4 year occupation by the Spanish Empire; ousts Spain from Hispaniola
Coups d'état,,,1864,1864,,,Troops of French Emperor Napoleon III invade Mexico and install Habsburg pretender Maximilian as Emperor.
Coups d'état,,,1866,1866,,,Prince Alexandru Ioan Cuza of Romania is forced to abdicate by a political and military coalition.
Revolution,,,1866,1868,,,"The Meiji Restoration and modernization revolution in Japan. Samurai uprising leads to overthrow of shogunate and establishment of ""modern"" parliamentary, Western-style system."
Revolution,,,1866,1868,,,"The Red River Rebellion (or the Red River Resistance, Red River Uprising, or First Riel Rebellion) was the sequence of events related to the 1869 establishment of a provisional government by the Métis leader Louis Riel and his followers at the Red River Colony, in what is now the Canadian province of Manitoba. For a period it had been a territory called Rupert's Land under control of the Hudson's Bay Company."
Coups d'état,,,1867,1867,,,"By compulsion of Satchō Alliance, Tokugawa shogunate returned political power to Emperor Meiji."
Revolution,,,1868,1868,,,"The Glorious Revolution (Spanish: La Gloriosa or Sexenio Democrático) took place in Spain in 1868, resulting in the deposition of Queen Isabella II"
Revolution,,,1868,1868,,,"The Grito de Lares (English: Cry of Lares)—also referred to as the Lares uprising, the Lares revolt, the Lares rebellion, or as the Lares revolution—was the first major revolt againstSpanish rule in Puerto Rico. The short-lived revolt was planned by Ramón Emeterio Betances and Segundo Ruiz Belvis. It began on September 23, 1868 in the town of Lares, for which it is named, and spread rapidly to various revolutionary cells throughout the island."
Coups d'état,,,1870,1870,,,Bruno Carranza came to power in Costa Rica in the coup d'état of 27 April 1870 that deposed President Jesús Jiménez Zamora. He resigned three months later.
Government Collapse,,,1870,1870,,,"The Paris Commune was a radical socialist and revolutionary government that ruled Paris from 18 March to 28 May 1871. Following the defeat of Emperor Napoleon III in September 1870, the French Second Empire swiftly collapsed."
Coups d'état,,,1874,1874,,,Arsenio Martínez Campos overthrows the First Spanish Republic and installs Alfonso XII as king.
Uprising,,,1875,1877,,,"The Herzegovina Uprising of 1875–77 (Serbo-Croatian: Hercegovački ustanak, Serbian Cyrillic: Херцеговачки устанак) was an uprising led by ethnic Serbs against the Ottoman Empire, firstly and predominantly in Herzegovina (hence its name), from where it spread into Bosnia."
Coups d'état,,,1876,1876,,,"Seizing power in a coup in 1876, Díaz and his allies ruled Mexico for the next thirty-five years, a period known as the Porfiriato"
Coups d'état,,,1876,1876,,,Aniceto Esquivel Sáenz was President of Costa Rica for a brief period of three months in 1876 before being deposed in a coup d'état led by Vicente Herrera Zeledón.
War,,,1883,1898,,,The Mandingo Wars were a series of conflicts from 1883 to 1898 between France and the Wassoulou Empire of the Mandingo people led by Samory Touré. The French were ultimately triumphant and established dominance over the Ivory Coast.
Rebellion,6.4058° S,106.0640° E,1888,1888,,,"The Peasant Rebellion in Banten, Indonesia."
Coups d'état,,,1889,1889,,,"a military coup led by Marshal Deodoro da Fonseca deposes the Brazilian Emperor, Dom Pedro II, proclaims the Republic and installs a provisional government."
War,,,1889,1902,,,"The Second Boer War (Dutch: Tweede Boerenoorlog, Afrikaans: Tweede Vryheidsoorlog, literally ""Second Freedom War"") otherwise known as the Second Anglo-Boer War or the South African War,[6] occurred from 11 October 1899 until 31 May 1902."
