type,Lat,Lon,start year,end year,magnitude,extent,description of event
Extra-State War #300,,,1816,1816,,,Allied Bombardment of Algiers of 1816
Extra-State War #301,,,1816,1818,,,Ottoman-Wahhabi Revolt of 1816-1818
Extra-State War #302,,,1817,1818,,,Liberation of Chile of 1817-1818
Extra-State War #303,,,1817,1819,,,First Bolivar Expedition of 1817-1819
Extra-State War #304,,,1817,1818,,,War of Mexican Independence of 1817-1818
Extra-State War #305,,,1817,1818,,,British-Kandyan War of 1817-1818
Extra-State War #306,,,1817,1818,,,British-Maratha of 1817-1818
Non-State War #1500,,,1818,1824,,,First Maori Tribal War of 1818-1824
Intra-State War #500,,,1818,1822,,,First Caucasus War of 1818-1822
Non-State War #1501,,,1819,1828,,,Shaka Zulu-Bantu War of 1819-1828
Non-State War #1502,,,1819,1822,,,Burma-Assam War of 1819-1822
Non-State War #1503,,,1820,1820,,,Buenos Aires War of 1820
Intra-State War #501,,,1820,1821,,,Sidon-Damascus War of 1820-1821
Intra-State War #502,,,1820,1821,,,First Two Sicilies War of 1820-1821
Extra-State War #307,,,1820,1821,,,Ottoman Conquest of Sudan of 1820-1821
Intra-State War #505,,,1821,1821,,,Sardinian Revolt of 1821
Intra-State War #506,,,1821,1828,,,Greek Independence War of 1821-1828
Extra-State War #308,,,1821,1822,,,Second Bolívar Expedition of 1821-1822
Extra-State War #309,,,1821,1822,,,Turco-Persian War of 1821-1823
Non-State War #1505,,,1821,1823,,,Second Maori Tribal War of 1821-1823
Non-State War #1506,,,1821,1821,,,Siam-Kedah War of 1821
Intra-State War #503,,,1821,1823,,,Spanish Royalists War of 1821-1823
Inter-State War #1,,,1823,1823,,,Franco-Spanish War of 1823
Extra-State War #310,,,1823,1826,,,First British-Burmese War of 1823-1826
Extra-State War #311,,,1824,1826,,,First British-Ashanti War of 1824-1826
Extra-State War #312,,,1824,1825,,,Liberation of Peru of 1824-1825
Intra-State War #507,,,1824,1824,,,Egypt-Mehdi War of 1824
Non-State War #1508,,,1825,1828,,,China-Kashgaria War of 1825-1828
Extra-State War #313,,,1825,1830,,,Dutch-Javanese War of 1825-1830
Non-State War #1509,,,1825,1827,,,Mexico-Yaqui Indian War of 1825-1827
Extra-State War #314,,,1825,1826,,,British-Bharatpuran War of 1825-1826
Extra-State War #315,,,1826,1828,,,Brazil-Argentine War of 1826-1828
Non-State War #1510,,,1826,1829,,,Central American Confederation War of 1826-1829
Non-State War #1511,,,1826,1827,,,Viang Chan-Siamese War of 1826-1827
Intra-State War #508,,,1826,1826,,,Janissari Revolt of 1826
Extra-State War #316,,,1826,1828,,,Russo-Persian War of 1826-1828
Inter-State War #4,,,1828,1829,,,First Russo-Turkish War of 1828-1829
Non-State War #1512,,,1828,1829,,,Peru-Gran Colombia War of 1828-1829
Intra-State War #510,,,1828,1834,,,Miguelite War of 1828-1834
Non-State War #1513,,,1829,1831,,,Argentine War for Unity of 1829-1831
Extra-State War #317,,,1829,1829,,,Spanish Reconquest of Mexico of 1829
Non-State War #1514,,,1829,1830,,,Sayyid Said War of 1829-1830
Intra-State War #511,,,1830,1832,,,First Murid War of 1830-1832
Intra-State War #512,,,1830,1831,,,First Albanian Revolt of 1830-1831
Extra-State War #319,,,1830,1830,,,French Occupation of Algiers of 1830
Intra-State War #513,,,1830,1830,,,First French Insurrection of 1830
Intra-State War #515,,,1830,1830,,,Belgian Independence War of 1830
Non-State War #1515,,,1830,1831,,,China-Kokand War of 1830-1831
Intra-State War #516,,,1831,1832,,,Egyptian Taka Expedition of 1831-1832
Intra-State War #517,,,1831,1831,,,First Polish War of 1831
Non-State War #1516,,,1831,1834,,,Siam-Cambodia-Vietnam War of 1831-1834
Intra-State War #518,,,1831,1832,,,First Syrian War of 1831-1832
Intra-State War #520,,,1832,1832,,,First Mexican War of 1832
Extra-State War #320,,,1832,1837,,,Ottoman-Bilmez-Asiri War of 1832-1837
Non-State War #1518,,,1833,1834,,,Argentine-Ranqueles Indian War of 1833-1834
Intra-State War #521,,,1834,1834,,,Egypt-Palestinian Anti-Conscription Revolt of 1834
Intra-State War #522,,,1834,1840,,,First Carlist War of 1834-1840
Intra-State War #523,,,1834,1834,,,Second Murid War of 1834
Intra-State War #525,,,1835,1837,,,Cabanos Revolt of 1835-1837
Non-State War #1520,,,1835,1836,,,Bolivia Conquest of Peru in 1835-1836
Intra-State War #526,,,1835,1845,,,Farroupilha War of 1835-1845
Intra-State War #527,,,1835,1836,,,Texan War of 1835-1836
Intra-State War #528,,,1836,1837,,,First Bosnian War of 1836-1837
Intra-State War #530,,,1836,1852,,,Third Murid War of 1836-1852
Non-State War #1521,,,1836,1837,,,Boer-Matabele War of 1836-1837
Intra-State War #532,,,1837,1838,,,Druze Rebellion of 1837-1838
Intra-State War #531,,,1837,1838,,,Sabinada Rebellion of 1837-1838
Non-State War #1523,,,1837,1839,,,Dissolution of the Bolivia-Peru Confederation of 1837-1839
Non-State War #1524,,,1837,1838,,,Persian Siege of Herat of 1837-1838
Non-State War #1525,,,1838,1838,,,Boer-Zulu War of 1838
Extra-State War #321,,,1838,1838,,,First British-Zulu War of 1838
Extra-State War #322,,,1839,1842,,,First British-Afghan War of 1839-1842
Non-State War #1527,,,1839,1840,,,Anti-Rosas War of 1839-1840
Non-State War #1528,,,1839,1840,,,Dissolution of the Central American Confederation of 1839-1840
Intra-State War #533,,,1839,1839,,,Second Syrian War Phase 1 of 1839
Extra-State War #323,,,1839,1842,,,First Opium War of 1839-1842
Extra-State War #324,,,1839,1847,,,First Franco-Algerian War 1839-1847
Intra-State War #535,,,1840,1840,,,Lebanon Insurgency of 1840
Intra-State War #536,,,1840,1842,,,First Colombian War of 1840-1842
Intra-State War #537,,,1840,1840,,,Second Syrian War Phase 2 of 1840
Intra-State War #538,,,1841,1842,,,First Argentina War Phase 2 of 1841-1842
,,,,,,,
Intra-State War #540,,,1841,1841,,,Second Bosnian War of 1841
Non-State War #1530,,,1841,1842,,,Dogra-Tibet War of 1841-1842
Intra-State War #541,,,1841,1841,,,Triangular Revolt of 1841
Extra-State War #325,,,1841,1841,,,Peru-Bolivian War of 1841
Intra-State War #542,,,1842,1843,,,Karbala Revolt of 1842-1843
Extra-State War #326,,,1843,1843,,,British-Sind War of 1843
Extra-State War #327,,,1843,1851,,,Uruguay War of 1843-1851
Extra-State War #329,,,1843,1843,,,Gwalior War of 1843
Non-State War #1531,,,1844,1845,,,First Haiti-Santo Domingo War of 1844-1845
Extra-State War #330,,,1844,1844,,,Franco-Moroccan War of 1844
Intra-State War #543,,,1845,1845,,,First Maronite-Druze War of 1845
Extra-State War #331,,,1845,1846,,,First British-Sikh War of 1845-1846
Extra-State War #332,,,1846,1846,,,Cracow Revolt of 1846
Extra-State War #333,,,1846,1847,,,First British-Xhosa War of 1846-1847
Inter-State War #7,,,1846,1847,,,Mexican-American War of 1846-1847
Intra-State War #545,,,1847,1848,,,Mayan Caste War Phase 1 of 1847-1848
Intra-State War #546,,,1847,1849,,,Second Carlist War of 1847-1849
Non-State War #1533,,,1847,1847,,,War of Seven Khojas 1847
Intra-State War #547,,,1848,1849,,,Second Two Sicilies War of 1848-1849
Intra-State War #548,,,1848,1849,,,First Venezuelan War of 1848-1849
Intra-State War #550,,,1848,1848,,,Viennese Revolt of 1848
Intra-State War #551,,,1848,1848,,,Milan Five Day Revolt of 1848
Inter-State War #10,,,1848,1849,,,Austro-Sardinian War of 1848-1849
Inter-State War #13,,,1848,1849,,,First Schleswig-Holstein War of 1848-1849
Extra-State War #334,,,1848,1849,,,First Dutch-Bali War of 1848-1849
Extra-State War #335,,,1848,1849,,,Second British-Sikh War of 1848-1849
Intra-State War #552,,,1848,1848,,,Second French Insurrection of 1848
Intra-State War #553,,,1848,1855,,,Mayan Caste War Phase 2 of 1848-1855
Intra-State War #554,,,1848,1849,,,Hungarian War of 1848-1849
Inter-State War #16,,,1849,1849,,,War of the Roman Republic of 1849
Extra-State War #336,,,1849,1849,,,Chinese Pirates War of 1849
Non-State War #1534,,,1850,1860,,,Taiping Rebellion Phase 1 of 1850-1860
Extra-State War #337,,,1850,1852,,,Second British-Xhosa War of 1850-1852
Extra-State War #338,,,1851,1851,,,Ottoman-Yam Rebellion of 1851
Inter-State War #19,,,1851,1852,,,La Plata War of 1851-1852
Intra-State War #555,,,1851,1851,,,First Chilean War of 1851
Extra-State War #339,,,1852,1852,,,Second British-Burmese War of 1852
Non-State War #1535,,,1852,1854,,,First Tukulor War of 1852-1854
Non-State War #1536,,,1852,1852,,,Kashmir-Dards of Chilas War of 1852
Intra-State War #556,,,1852,1853,,,First Turco-Montenegrin War of 1852-1853
Inter-State War #22,,,1853,1856,,,Crimean War of 1853-1856
Intra-State War #557,,,1853,1855,,,First Peru War of 1853-1855
Non-State War #1537,,,1854,1860,,,Han-Miao War of 1854-1860
,,,,,,,
Extra-State War #340,,,1854,1857,,,French-Tukulor War of 1854-1857
Non-State War #1538,,,1855,1856,,,Second Haiti-Santo Domingo War of 1855-1856
Non-State War #1539,,,1855,1858,,,Han-Nien War of 1855-1858
Extra-State War #341,,,1855,1856,,,British-Santal War of 1855-1856
Intra-State War #558,,,1855,1856,,,Puebla War of 1855-1856
Extra-State War #342,,,1856,1856,,,Hodeida Seige of 1856
Non-State War #1540,,,1856,1857,,,Filibuster War of 1856-1857
Extra-State War #345,,,1856,1857,,,French Conquest of Kabylia of 1856-1857
Non-State War #1541,,,1856,1860,,,Han-Panthay War Phase 1 of 1856-1860
Extra-State War #343,,,1856,1860,,,Second Opium War of 1856-1860
Inter-State War #25,,,1856,1857,,,Anglo-Persian War of 1856-1857
Intra-State War #560,,,1856,1858,,,Second Peru War of 1856-1858
Non-State War #1542,,,1856,1856,,,First Zulu Internecine War of 1856
Extra-State War #347,,,1857,1859,,,Indian Mutiny of 1857-1859
Non-State War #1543,,,1857,1857,,,Kucha and Khoja Uprising of 1857
Intra-State War #561,,,1858,1861,,,Mexican Reform War of 1858-1861
Intra-State War #562,,,1858,1859,,,Second Turco-Montenegrin War of 1858-1859
Non-State War #1544,,,1858,1858,,,First Boer-Basuto War of 1858
Non-State War #1545,,,1858,1861,,,First Ethiopian War of 1858-1861
Extra-State War #349,,,1858,1862,,,First Franco-Vietnamese War of 1858-1862
Intra-State War #563,,,1859,1863,,,Second Venezuelan/Federalist War of 1859-1863
Extra-State War #350,,,1859,1860,,,Netherlands-Bone War of 1859-1860
Inter-State War #28,,,1859,1859,,,War of Italian Unification of 1859
Extra-State War #351,,,1859,1859,,,Argentine-Buenos Aires War of 1859
Inter-State War #31,,,1859,1860,,,First Spanish-Moroccan War of 1859-1860
Extra-State War #352,,,1860,1860,,,Garibaldi Expedition of 1860
Intra-State War #565,,,1860,1861,,,Second Colombian War of 1860-1861
Intra-State War #566,,,1860,1860,,,Second Maronite-Druze War of 1860
Non-State War #1546,,,1860,1862,,,Second Tukulor War of 1860-1862
Inter-State War #34,,,1860,1860,,,Italian-Roman War of 1860
Inter-State War #37,,,1860,1861,,,Neapolitan War of 1860-1861
Intra-State War #567,,,1860,1866,,,Taiping Rebellion Phase 2 of 1860-1866
Intra-State War #568,,,1860,1868,,,Second Nien Revolt of 1860-1868
Intra-State War #570,,,1860,1872,,,Miao Revolt Phase 2 of 1860-1872
Intra-State War #571,,,1860,1872,,,Panthay Rebellion Phase 2 of 1860-1872
Intra-State War #572,,,1861,1865,,,U.S. Civil War of 1861-1865
Intra-State War #573,,,1861,1861,,,Third Buenos Aires War of 1861
Intra-State War #575,,,1861,1862,,,Third Turco-Montenegrin War of 1861-1862
Non-State War #1548,,,1862,1864,,,Transvaal War of 1862-1864
Inter-State War #40,,,1862,1867,,,Franco-Mexican War of 1862-1867
Intra-State War #576,,,1862,1873,,,Tungan Rebellion of 1862-1873
Intra-State War #577,,,1862,1862,,,Sioux-Minnesota War of 1862
Intra-State War #578,,,1862,1862,,,Bolivan Pérez Rebellion of 1862
Intra-State War #580,,,1863,1864,,,Second Polish War of 1863-1864
,,,,,,,
Non-State War #1550,,,1863,1863,,,Central American War of 1863
Intra-State War #581,,,1863,1863,,,Second Argentina War of 1863
Extra-State War #353,,,1863,1865,,,Spanish-Santo Dominican War of 1863-1865
Extra-State War #355,,,1863,1866,,,British-Maori War of 1863-1866
Extra-State War #356,,,1863,1864,,,Shimonoseki War of 1863-1864
Extra-State War #357,,,1863,1863,,,British Umbeyla Campaign of 1863
Inter-State War #43,,,1863,1863,,,Ecuadorian-Columbian War of 1863
Inter-State War #46,,,1864,1864,,,Second Schleswig-Holstein War of 1864
Extra-State War #359,,,1864,1865,,,Russian-Kokand War of 1864-1865
Intra-State War #582,,,1864,1871,,,Xinjiang Muslim Revolt of 1864-1871
Inter-State War #49,,,1864,1870,,,Lopez War of 1864-1870
Non-State War #1551,,,1864,1865,,,First Australian Aboriginal War of 1864-1865
Extra-State War #360,,,1865,1865,,,British-Bhutanese War of 1865
Non-State War #1552,,,1865,1866,,,Second Boer-Basuto War of 1865-1866
Inter-State War #52,,,1865,1866,,,Naval War of 1865-1866
Extra-State War #361,,,1866,1866,,,Russian-Bukharan War of 1866
Intra-State War #583,,,1866,1867,,,First Cretan War of 1866-1867
Inter-State War #55,,,1866,1866,,,Seven Weeks War of 1866
Intra-State War #585,,,1866,1866,,,Yellow Cliff Revolt of 1866
