"","year","country","boat","volume","type","long","lat","distance"
"2572",1859,"","","","vessel",NA,NA,NA
"2573",1859,"total general","10710","777555","vessel",120.8991416,14.2884022,"10167.4794185 km"
"2574",1859,"total","9672","465012","vessel",10.0380537862,48.4055831,"417.452581931 km"
"2575",1859,"total","1038","312543","steamboat",10.0380537862,48.4055831,"417.452581931 km"
"2576",1859,"","","","vessel",NA,NA,NA
"2577",1859,"austria total","8031","461878","vessel",15.3310906,47.2363884,"213.234401355 km"
"2578",1859,"austria","7796","245640","vessel",13.199959,47.2000338,"177.792924595 km"
"2579",1859,"austria","835","216238","steamboat",13.199959,47.2000338,"177.792924595 km"
"2580",1859,"","","","vessel",NA,NA,NA
"2581",1859,"foreign total","2079","315677","vessel",NA,NA,NA
"2582",1859,"foreign","1876","219372","vessel",-0.128709882909,51.50277575,"1211.67930291 km"
"2583",1859,"foreign","203","96305","steamboat",-0.128709882909,51.50277575,"1211.67930291 km"
"2584",1859,"","","","vessel",NA,NA,NA
"2585",1859,"papal state","535","31430","vessel",NA,NA,NA
"2586",1859,"papal state","2","995","steamboat",NA,NA,NA
"2587",1859,"neaples","420","21398","vessel",NA,NA,NA
"2588",1859,"neaples","","","steamboat",NA,NA,NA
"2589",1859,"sicily","55","13419","vessel",14.155048,37.587794,"896.011387699 km"
"2590",1859,"sicily","","","steamboat",14.155048,37.587794,"896.011387699 km"
"2591",1859,"ionic islands","54","5429","vessel",-71.0961639,42.452318,"6475.15521572 km"
"2592",1859,"ionic islands","44","9236","steamboat",-71.0961639,42.452318,"6475.15521572 km"
"2593",1859,"greece","187","25500","vessel",21.9999569,39.000041,"1001.80063751 km"
"2594",1859,"greece","2","721","steamboat",21.9999569,39.000041,"1001.80063751 km"
"2595",1859,"toscana","14","6561","vessel",11.1389204,43.4586541,"320.934988239 km"
"2596",1859,"toscana","","","steamboat",11.1389204,43.4586541,"320.934988239 km"
"2597",1859,"sardegna","17","2793","vessel",9.0305773,40.0912813,"728.621829822 km"
"2598",1859,"mediterranean france","","","vessel",5.4404587,43.2353442,"714.930492968 km"
"2599",1859,"mediterranean france","32","7096","steamboat",5.4404587,43.2353442,"714.930492968 km"
"2600",1859,"atlantic france ","1","124","vessel",4.8406848,44.1211642,"725.242647921 km"
"2601",1859,"algeria","17","4850","vessel",2.9999825,28.0000272,"2176.99823126 km"
"2602",1859,"spain","8","2194","vessel",-4.0031039,40.0028028,"1578.55733565 km"
"2603",1859,"spain","3","1583","steamboat",-4.0031039,40.0028028,"1578.55733565 km"
