"","year","country","boat","volume","type","long","lat","distance"
"2656",1859,"","",NA,"vessel",NA,NA,NA
"2657",1859,"total general","10969",77913,"vessel",120.8991416,14.2884022,"10167.4794185 km"
"2658",1859,"total","9925",465296,"vessel",10.0380537862,48.4055831,"417.452581931 km"
"2659",1859,"total","1044",313877,"steamboat",10.0380537862,48.4055831,"417.452581931 km"
"2660",1859,"","",NA,"vessel",NA,NA,NA
"2661",1859,"austria total","8761",439693,"vessel",15.3310906,47.2363884,"213.234401355 km"
"2662",1859,"austria","7925",223647,"vessel",13.199959,47.2000338,"177.792924595 km"
"2663",1859,"austria","836",215951,"steamboat",13.199959,47.2000338,"177.792924595 km"
"2664",1859,"","",NA,"vessel",NA,NA,NA
"2665",1859,"foreign total","2208",339480,"vessel",NA,NA,NA
"2666",1859,"foreign","2000",241634,"vessel",-0.128709882909,51.50277575,"1211.67930291 km"
"2667",1859,"foreign","208",97826,"steamboat",-0.128709882909,51.50277575,"1211.67930291 km"
"2668",1859,"","",NA,"vessel",NA,NA,NA
"2669",1859,"papal state","505",26810,"vessel",NA,NA,NA
"2670",1859,"papal state","1",400,"steamboat",NA,NA,NA
"2671",1859,"neaples","413",22129,"vessel",NA,NA,NA
"2672",1859,"neaples","",NA,"steamboat",NA,NA,NA
"2673",1859,"sicily","77",12978,"vessel",14.155048,37.587794,"896.011387699 km"
"2674",1859,"sicily","",NA,"steamboat",14.155048,37.587794,"896.011387699 km"
"2675",1859,"ionic islands","47",3716,"vessel",-71.0961639,42.452318,"6475.15521572 km"
"2676",1859,"ionic islands","51",11849,"steamboat",-71.0961639,42.452318,"6475.15521572 km"
"2677",1859,"greece","114",9272,"vessel",21.9999569,39.000041,"1001.80063751 km"
"2678",1859,"greece","",NA,"steamboat",21.9999569,39.000041,"1001.80063751 km"
"2679",1859,"toscana","4",424,"vessel",11.1389204,43.4586541,"320.934988239 km"
"2680",1859,"toscana","",NA,"steamboat",11.1389204,43.4586541,"320.934988239 km"
"2681",1859,"sardegna","20",2657,"vessel",9.0305773,40.0912813,"728.621829822 km"
"2682",1859,"mediterranean france","49",9154,"vessel",5.4404587,43.2353442,"714.930492968 km"
"2683",1859,"mediterranean france","",NA,"steamboat",5.4404587,43.2353442,"714.930492968 km"
"2684",1859,"atlantic france ","17",2814,"vessel",4.8406848,44.1211642,"725.242647921 km"
"2685",1859,"algeria","1",374,"vessel",2.9999825,28.0000272,"2176.99823126 km"
"2686",1859,"spain","6",1606,"vessel",-4.0031039,40.0028028,"1578.55733565 km"
"2687",1859,"spain","5",2821,"steamboat",-4.0031039,40.0028028,"1578.55733565 km"
"2688",1859,"uk – malta","8",300,"vessel",-0.3402597,51.8246673,"1241.21185177 km"
"2689",1859,"uk – malta","",NA,"steamboat",-0.3402597,51.8246673,"1241.21185177 km"
"2690",1859,"uk – gibraltar","",NA,"vessel",-0.90223,51.791921,"1273.97556484 km"
"2691",1859,"uk –","135",40305,"vessel",-3.2765752,54.7023545,"1572.85537912 km"
"2692",1859,"uk –","29",20673,"steamboat",-3.2765752,54.7023545,"1572.85537912 km"
"2693",1859,"low countries","32",4987,"vessel",NA,NA,NA
"2694",1859,"low countries","5",1912,"steamboat",NA,NA,NA
"2695",1859,"belgium","15",4216,"vessel",4.66696,50.6407351,"874.632188249 km"
"2696",1859,"hamburg","9",928,"vessel",10.000654,53.5503414,"919.635267353 km"
"2697",1859,"prussia","5",998,"vessel",-94.5063569,41.3738765,"8033.16508919 km"
"2698",1859,"sweden and norway","7",1209,"vessel",17.3117254,62.3938656,"1877.3431426 km"
"2699",1859,"russia black sea","64",18506,"vessel",85.0188107,56.4834029,"4898.56295882 km"
"2700",1859,"russia black sea","3",311,"steamboat",85.0188107,56.4834029,"4898.56295882 km"
"2701",1859,"turkey","275",30198,"vessel",34.9249653,38.9597594,"1888.62396614 km"
"2702",1859,"turkey","99",47479,"steamboat",34.9249653,38.9597594,"1888.62396614 km"
"2703",1859,"moldavia","20",3055,"vessel",28.5110236,47.286747,"1144.90039841 km"
"2704",1859,"moldavia","",NA,"steamboat",28.5110236,47.286747,"1144.90039841 km"
"2705",1859,"valacchia","80",13037,"vessel",NA,NA,NA
"2706",1859,"valacchia","",NA,"steamboat",NA,NA,NA
"2707",1859,"egypt","22",6626,"vessel",29.2675469,26.2540493,"2556.17720792 km"
"2708",1859,"egypt","17",12313,"steamboat",29.2675469,26.2540493,"2556.17720792 km"
"2709",1859,"tripoli","1",113,"vessel",13.4141472054,32.77325405,"1429.91387314 km"
"2710",1859,"s. domingo","7",1063,"vessel",-41.3408739,-20.9514413,"9236.36248811 km"
"2711",1859,"american spain","8",2538,"vessel",-15.4410232,28.1329472,"3219.07175428 km"
"2712",1859,"usa","25",12092,"vessel",-100.4458824,39.7837304,"8503.50783997 km"
"2713",1859,"venezuela","1",111,"vessel",-66.1109317,8.0018709,"8591.75584662 km"
"2714",1859,"brazil","28",5772,"vessel",-53.1999999,-10.3333332,"9098.17641607 km"
"2715",1859,"peru","2",635,"vessel",-75.0458514,-6.8699696,"10459.9525756 km"
"2716",1859,"asian uk","4",1405,"vessel",0.101622167247,52.2049696,"1235.5292921 km"
"2717",1859,"asian low countries ","1",409,"vessel",NA,NA,NA
"2718",1859,"sumatra","1",400,"vessel",101.583949,-0.14292745,"9851.0434614 km"
"61",1860,"","",NA,"vessel",NA,NA,NA
"62",1860,"total general","10243",717296,"vessel",120.8991416,14.2884022,"10167.4794185 km"
"63",1860,"total","9280",486484,"vessel",10.0380537862,48.4055831,"417.452581931 km"
"64",1860,"total","963",232213,"steamboat",10.0380537862,48.4055831,"417.452581931 km"
"65",1860,"","",NA,"vessel",NA,NA,NA
"66",1860,"austria total","8013",244900,"vessel",15.3310906,47.2363884,"213.234401355 km"
"67",1860,"austria","7288",206700,"vessel",13.199959,47.2000338,"177.792924595 km"
"68",1860,"austria","725",137065,"steamboat",13.199959,47.2000338,"177.792924595 km"
"69",1860,"","",NA,"vessel",NA,NA,NA
"70",1860,"foreign total","2230",372590,"vessel",NA,NA,NA
"71",1860,"foreign","1992",206464,"vessel",-0.128709882909,51.50277575,"1211.67930291 km"
"72",1860,"foreign","235",114507,"steamboat",-0.128709882909,51.50277575,"1211.67930291 km"
"73",1860,"","",NA,"vessel",NA,NA,NA
"74",1860,"papal state","412",2230,"vessel",NA,NA,NA
"75",1860,"papal state","10",2002,"steamboat",NA,NA,NA
"76",1860,"neaples","414",21200,"vessel",NA,NA,NA
"77",1860,"neaples","",NA,"steamboat",NA,NA,NA
"78",1860,"sicily","75",12510,"vessel",14.155048,37.587794,"896.011387699 km"
"79",1860,"sicily","",NA,"steamboat",14.155048,37.587794,"896.011387699 km"
"80",1860,"ionic islands","24",2122,"vessel",-71.0961639,42.452318,"6475.15521572 km"
"81",1860,"ionic islands","53",10627,"steamboat",-71.0961639,42.452318,"6475.15521572 km"
"82",1860,"greece","183",19122,"vessel",21.9999569,39.000041,"1001.80063751 km"
"83",1860,"greece","1",406,"steamboat",21.9999569,39.000041,"1001.80063751 km"
"84",1860,"toscana","6",601,"vessel",11.1389204,43.4586541,"320.934988239 km"
"85",1860,"sardegna","21",2190,"vessel",9.0305773,40.0912813,"728.621829822 km"
"86",1860,"sardegna","",NA,"steamboat",9.0305773,40.0912813,"728.621829822 km"
"87",1860,"mediterranean france","46",9050,"vessel",5.4404587,43.2353442,"714.930492968 km"
"88",1860,"mediterranean france","1",500,"steamboat",5.4404587,43.2353442,"714.930492968 km"
"89",1860,"atlantic france ","15",2201,"vessel",4.8406848,44.1211642,"725.242647921 km"
"90",1860,"spain ","6",806,"vessel",-4.0031039,40.0028028,"1578.55733565 km"
"91",1860,"portugal","1",104,"vessel",-7.8896262,40.033265,"1870.41416999 km"
"92",1860,"uk – malta","6",1079,"vessel",-0.3402597,51.8246673,"1241.21185177 km"
"93",1860,"uk –","186",56294,"vessel",-3.2765752,54.7023545,"1572.85537912 km"
"94",1860,"uk –","25",22731,"steamboat",-3.2765752,54.7023545,"1572.85537912 km"
"95",1860,"low countries","35",5906,"vessel",NA,NA,NA
"96",1860,"low countries","9",3401,"steamboat",NA,NA,NA
"97",1860,"belgium","12",2601,"vessel",4.66696,50.6407351,"874.632188249 km"
"98",1860,"hamburg","12",1946,"vessel",10.000654,53.5503414,"919.635267353 km"
"99",1860,"prussia","1",118,"vessel",-94.5063569,41.3738765,"8033.16508919 km"
"100",1860,"sweden and norway","5",760,"vessel",17.3117254,62.3938656,"1877.3431426 km"
"101",1860,"russia black sea ","41",10501,"vessel",85.0188107,56.4834029,"4898.56295882 km"
"102",1860,"turkey","237",28050,"vessel",34.9249653,38.9597594,"1888.62396614 km"
"103",1860,"turkey","115",37291,"steamboat",34.9249653,38.9597594,"1888.62396614 km"
"104",1860,"moldavia","13",2157,"vessel",28.5110236,47.286747,"1144.90039841 km"
"105",1860,"moldavia","",NA,"steamboat",28.5110236,47.286747,"1144.90039841 km"
"106",1860,"valacchia","119",21841,"vessel",NA,NA,NA
"107",1860,"valacchia","",NA,"steamboat",NA,NA,NA
"108",1860,"egypt","24",6190,"vessel",29.2675469,26.2540493,"2556.17720792 km"
"109",1860,"egypt","24",16721,"steamboat",29.2675469,26.2540493,"2556.17720792 km"
"110",1860,"s. domingo","8",1188,"vessel",-41.3408739,-20.9514413,"9236.36248811 km"
"111",1860,"american spain","5",837,"vessel",-15.4410232,28.1329472,"3219.07175428 km"
"112",1860,"usa","41",17146,"vessel",-100.4458824,39.7837304,"8503.50783997 km"
"113",1860,"mexico","1",341,"vessel",-99.1332101,19.4325301,"10142.6426318 km"
"114",1860,"venezuela","2",201,"vessel",-66.1109317,8.0018709,"8591.75584662 km"
"115",1860,"brazil","34",6856,"vessel",-53.1999999,-10.3333332,"9098.17641607 km"
"116",1860,"peru","2",719,"vessel",-75.0458514,-6.8699696,"10459.9525756 km"
