"year","boat","volume","type","country","new_loc","port","lon","lat"
1907,"673",30460,"vessel","austria hungary",6,"Other Austro-Hungarian ports",13.776819,46.649526
1907,"6178",904313,"steamboat","austria hungary",6,"Other Austro-Hungarian ports",13.776819,46.649526
1907,"4",4990,"steamboat","belgium",8,"Ostend",2.928656,51.21543
1907,"4",684,"vessel","crete turkey",57," Herakleio",25.144213,35.338735
1907,"2",648,"steamboat","crete turkey",57," Herakleio",25.144213,35.338735
1907,"3",648,"vessel","france",22,"Marseille",5.3699525,43.2961743
1907,"63",53656,"steamboat","france",22,"Marseille",5.3699525,43.2961743
1907,"31",41291,"steamboat","germany",23,"Hamburg",10.000654,53.5503414
1907,"2",2644,"steamboat","gibraltar uk",24,"Gibraltar",-5.353585,36.140751
1907,"250",504026,"steamboat","uk",58,"London",-0.1276473,51.5073219
1907,"42",8718,"vessel","greece",25,"Thessaloniki",22.9352716,40.6403167
1907,"23",26125,"steamboat","greece",25,"Thessaloniki",22.9352716,40.6403167
1907,"1359",55056,"vessel","italy",30,"Ancona",13.5170982,43.6170137
1907,"629",441838,"steamboat","italy",30,"Ancona",13.5170982,43.6170137
1907,"2",393,"steamboat","malta uk",35,"La Valletta",14.514553,35.898908
1907,"4",134,"vessel","montenegro",38,"Port of Bar",19.083959,42.087462
1907,"53",96189,"steamboat","rumenia",46,"Costantza",28.634814,44.159801
1907,"1",1681,"steamboat","russia baltic sea",48,"St Petersburg",30.335099,59.93428
1907,"95",133959,"steamboat","russia black sea",48,"Novorossiysk",37.7690711,44.7239578
1907,"62",62665,"steamboat","spain",52,"Barcelona",2.1771353,41.3825596
1907,"40",3680,"vessel","european turkey",57,"Istambul",28.9651646,41.0096334
1907,"111",55815,"steamboat","european turkey",57,"Istambul",28.9651646,41.0096334
1907,"1",437,"vessel","asian turkey",57,"Izmir",27.144474,38.4153421
1907,"140",185089,"steamboat","asian turkey",57,"Izmir",27.144474,38.4153421
1907,"61",161953,"steamboat","india uk",27,"Calcutta ",88.363895,22.572646
1907,"1",860,"steamboat","siam uk",54,"Bangkok",100.501765,13.756331
1907,"11",42953,"steamboat","japan",32,"Tokyo",139.691706,35.689488
1907,"2",1025,"vessel","egypt",20,"Alexandria",29.8943785,31.1990035
1907,"58",130951,"steamboat","egypt",20,"Alexandria",29.8943785,31.1990035
1907,"1",127,"vessel","tripoli",33,"Tripoli",13.191338,32.887209
1907,"7",4323,"steamboat","tunisia",56,"Tunis",10.19274,37.837495
1907,"6",2664,"vessel","algeria",2,"Algiers",3.05762,36.699729
1907,"30",27900,"steamboat","algeria",2,"Algiers",3.05762,36.699729
1907,"8",5794,"steamboat","morocco",39,"Casablanca",-7.6188008,33.5949733
1907,"2",5729,"steamboat","south africa uk",51,"Cape Town",18.424055,-33.924868
1907,"106",378641,"steamboat","usa",60,"New York",-73.9865811,40.7305991
1907,"1",566,"vessel","caribbean uk",31,"Kingston, Jamaica",-76.7928127,17.9712148
1907,"2",1506,"vessel","haiti",26,"Port-au-Prince",-72.307433,18.594395
1907,"9",16520,"steamboat","brazil",10,"Rio de Janeiro",-43.2093726,-22.9110136
1907,"11",20577,"steamboat","argentina",4,"Buenos Aires",-58.4460878,-34.6143904
1907,"2",3257,"vessel","chile",14,"Valparaiso",-71.6198031,-33.0462474
1860,"7288",206700,"vessel","austria",6,"Other Austro-Hungarian ports",13.776818,45.649526
1860,"725",137065,"steamboat","austria",6,"Other Austro-Hungarian ports",13.776818,45.649526
1860,"1992",206464,"vessel","foreign",44,"",NA,NA
1860,"235",114507,"steamboat","foreign",44,"",NA,NA
1860,"412",2230,"vessel","papal state",30,"Ancona",13.5170982,43.6170137
1860,"10",2002,"steamboat","papal state",30,"Ancona",13.5170982,43.6170137
1860,"414",21200,"vessel","neaples",30,"Neaples",14.268124,40.851775
1860,"75",12510,"vessel","sicily",30,"Palermo",13.3534422,38.11127
1860,"24",2122,"vessel","ionic islands",25,"Zakynthos",20.899876,37.787033
1860,"53",10627,"steamboat","ionic islands",25,"Zakynthos",20.899876,37.787033
1860,"183",19122,"vessel","greece",25,"Thessaloniki",22.9352716,40.6403167
1860,"1",406,"steamboat","greece",25,"Thessaloniki",22.9352716,40.6403167
1860,"6",601,"vessel","toscana",30,"Livorno",10.3160295,43.5426309
1860,"21",2190,"vessel","sardegna",30,"Cagliari",9.1128513,39.2169525
1860,"46",9050,"vessel","mediterranean france",22,"Marseille",5.3699525,43.2961743
1860,"1",500,"steamboat","mediterranean france",22,"Marseille",5.3699525,43.2961743
1860,"15",2201,"vessel","atlantic france",22,"Le Havre",0.1079732,49.4938975
1860,"6",806,"vessel","spain",52,"Barcelona",2.1771353,41.3825596
1860,"1",104,"vessel","portugal",45,"Lisbon",-9.1365069,38.7077926
1860,"6",1079,"vessel","uk malta",35,"La Valletta",14.514553,35.898908
1860,"186",56294,"vessel","uk",58,"London",-0.1276473,51.5073219
1860,"25",22731,"steamboat","uk",58,"London",-0.1276473,51.5073219
1860,"35",5906,"vessel","low countries",41,"Rotterdam",4.488623269,51.92779805
1860,"9",3401,"steamboat","low countries",41,"Rotterdam",4.488623269,51.92779805
1860,"12",2601,"vessel","belgium",8,"Ostend",2.928656,51.21543
1860,"12",1946,"vessel","hamburg",23,"Hamburg",10.000654,53.5503414
1860,"1",118,"vessel","prussia",23,"Rostok",12.1286127,54.0924445
1860,"5",760,"vessel","sweden and norway",53,"Göteborg",11.97456,57.70887
1860,"41",10501,"vessel","russia black sea",48,"Novorossiysk",37.7690711,44.7239578
1860,"237",28050,"vessel","turkey",57,"Izmir",27.144474,38.4153421
