country,lat,long,distance
trieste,45.6500335,13.7706559,0
x,-32.096736,-63.7940922,11615.4173267 km
total general,14.2884022,120.8991416,10167.4794185 km
total,48.4055831,10.0380537862,417.452581931 km
austria total,47.2363884,15.3310906,213.234401355 km
austria,47.2000338,13.199959,177.792924595 km
foreign,51.50277575,-0.128709882909,1211.67930291 km
sicily,37.587794,14.155048,896.011387699 km
ionic islands,42.452318,-71.0961639,6475.15521572 km
greece,39.000041,21.9999569,1001.80063751 km
toscana,43.4586541,11.1389204,320.934988239 km
sardegna,40.0912813,9.0305773,728.621829822 km
mediterranean france,43.2353442,5.4404587,714.930492968 km
atlantic france ,44.1211642,4.8406848,725.242647921 km
algeria,28.0000272,2.9999825,2176.99823126 km
spain,40.0028028,-4.0031039,1578.55733565 km
uk – malta,51.8246673,-0.3402597,1241.21185177 km
uk – gibraltar,51.791921,-0.90223,1273.97556484 km
uk –,54.7023545,-3.2765752,1572.85537912 km
belgium,50.6407351,4.66696,874.632188249 km
hamburg,53.5503414,10.000654,919.635267353 km
prussia,41.3738765,-94.5063569,8033.16508919 km
sweden and norway,62.3938656,17.3117254,1877.3431426 km
russia black sea,56.4834029,85.0188107,4898.56295882 km
turkey,38.9597594,34.9249653,1888.62396614 km
moldavia,47.286747,28.5110236,1144.90039841 km
egypt,26.2540493,29.2675469,2556.17720792 km
tripoli,32.77325405,13.4141472054,1429.91387314 km
s. domingo,-20.9514413,-41.3408739,9236.36248811 km
american spain,28.1329472,-15.4410232,3219.07175428 km
usa,39.7837304,-100.4458824,8503.50783997 km
venezuela,8.0018709,-66.1109317,8591.75584662 km
brazil,-10.3333332,-53.1999999,9098.17641607 km
peru,-6.8699696,-75.0458514,10459.9525756 km
asian uk,52.2049696,0.101622167247,1235.5292921 km
sumatra,-0.14292745,101.583949,9851.0434614 km
spain ,40.0028028,-4.0031039,1578.55733565 km
portugal,40.033265,-7.8896262,1870.41416999 km
russia black sea ,56.4834029,85.0188107,4898.56295882 km
mexico,19.4325301,-99.1332101,10142.6426318 km
uk – gibraltar –,51.791921,-0.90223,1273.97556484 km
uk – malta ,51.8246673,-0.3402597,1241.21185177 km
uk – gibraltar ,51.791921,-0.90223,1273.97556484 km
denmark,55.670249,10.3333283,1140.48513829 km
tunis,33.8439408,9.400138,1362.73600984 km
african uk,54.5617141,-1.3105382,1459.50660586 km
american uk,53.0407826,-2.1924488,1416.55744226 km
atlantic france,44.1211642,4.8406848,725.242647921 km
hamburg ,53.5503414,10.000654,919.635267353 km
hannover,52.3744779,9.7385532,803.570892585 km
uk _ gibraltar,51.791921,-0.90223,1273.97556484 km
veneto,45.6476663,11.8665254,148.427248 km
romagna e marche,44.1882823,11.7434454,228.039042318 km
spain –,40.0028028,-4.0031039,1578.55733565 km
russia baltic sea ,60.3351479,31.8980926,2023.19929035 km
tunisia,33.8439408,9.400138,1362.73600984 km
african spain,10.6608194,-61.51767495,8026.61176661 km
argentina,-34.9964962,-64.9672816,11918.472177 km
russia baltic sea,60.3351479,31.8980926,2023.19929035 km
italy,42.6384261,12.674297,345.931655311 km
morocco,31.1728192,-7.3366042,2431.80681967 km
uruguay,-32.8755547,-56.0201524,11174.5251877 km
chile,-31.7613364,-71.3187696,12104.4331876 km
asian uk –,52.2049696,0.101622167247,1235.5292921 km
japan,36.5748441,139.2394179,9389.89922383 km
china,35.000074,104.999927,7418.2605458 km
western africa,-33.7921748,19.8929785,8819.41944642 km
maghreb,33.38367245,44.3733934304,2937.98284937 km
austria-hungary,48.2103746,16.3631959,346.357329152 km
dalmatia,40.6542515,-76.9024751,6983.21370874 km
americas,-13.6154417,-73.1349654,10842.832525 km
canada -uk,50.9625195,-1.588492,1279.98244076 km
africa,2.0000003,15.9999997,4840.95148682 km
asia,56.0000002,103.9999998,5995.07482165 km
india – uk,53.80641,-1.5822885,1425.92705596 km
bulgaria ,42.6073975,25.4856617,995.531001202 km
germany,51.0834196,10.4234469,652.923777692 km
uk,54.7023545,-3.2765752,1572.85537912 km
gibraltar – uk,51.791921,-0.90223,1273.97556484 km
malta – uk,51.8246673,-0.3402597,1241.21185177 km
europe 2,48.3096037,2.0079504,941.396774074 km
montenegro,43.0285558,19.291739,527.738085456 km
rumenia,45.9852129,24.6859225,848.4587257 km
west africa,2.0000003,15.9999997,4840.95148682 km
jamaica – uk,53.21570895,-3.16081903025,1482.83837746 km
martinica – france,14.6113732,-60.9620776,7678.83288113 km
canada uk,50.9625195,-1.588492,1279.98244076 km
bermuda uk,52.5056354,-1.4789787,1345.70250956 km
jamaica � uk,52.5056354,-1.4789787,1345.70250956 km
trinidad � uk,52.5056354,-1.4789787,1345.70250956 km
siam � uk,52.5056354,-1.4789787,1345.70250956 km
malta � uk,52.5056354,-1.4789787,1345.70250956 km
cyprus uk,51.5091962,0.0670869,1199.92277598 km
liguria and sardegna,43.9479221,8.1407133,483.807135658 km
jamaica - uk,53.21570895,-3.16081903025,1482.83837746 km
trinidad - uk,51.28539285,-1.08807835411,1261.54782243 km
siam - uk,52.4386191,-1.892371,1367.05649785 km
malta - uk,51.8246673,-0.3402597,1241.21185177 km
bulgaria,42.6073975,25.4856617,995.531001202 km
crete – turkey,40.2362233,26.2945493,1183.96557896 km
france,46.603354,1.8883335,923.538301578 km
rumenia ,45.9852129,24.6859225,848.4587257 km
european turkey,41.27771245,27.8109868566,1233.51969679 km
asian turkey,28.4484468,-81.476695,8186.86099127 km
caribbean - uk,51.58329,-0.0269099,1209.51829601 km
haiti,19.1399952,-72.3570971,8217.54896448 km
