year,boat,volume,type,country,port,long,lat,distance
1859,55,13419,vessel,sicily,Palermo,38.11127,13.3534422,753
1859,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1860,70,17475,vessel,sicily,Palermo,38.11127,13.3534422,753
1860,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1861,92,22538,vessel,sicily,Palermo,38.11127,13.3534422,753
1861,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1862,94,17698,vessel,sicily,Palermo,38.11127,13.3534422,753
1862,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1863,135,25973,vessel,sicily,Palermo,38.11127,13.3534422,753
1863,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1864,169,28912,vessel,sicily,Palermo,38.11127,13.3534422,753
1864,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1865,171,28961,vessel,sicily,Palermo,38.11127,13.3534422,753
1866,195,34516,vessel,sicily,Palermo,38.11127,13.3534422,753
1866,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1868,123,23616,vessel,sicily,Palermo,38.11127,13.3534422,753
1868,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1869,133,26639,vessel,sicily,Palermo,38.11127,13.3534422,753
1869,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1870,132,27165,vessel,sicily,Palermo,38.11127,13.3534422,753
1870,3,1581,steamboat,sicily,Palermo,38.11127,13.3534422,753
1870,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1871,165,35946,vessel,sicily,Palermo,38.11127,13.3534422,753
1871,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1871,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1872,169,34989,vessel,sicily,Palermo,38.11127,13.3534422,753
1872,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1873,149,31208,vessel,sicily,Palermo,38.11127,13.3534422,753
1873,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1873,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1879,122,26800,vessel,sicily,Palermo,38.11127,13.3534422,753
1879,9,4386,steamboat,sicily,Palermo,38.11127,13.3534422,753
1880,93,17286,vessel,sicily,Palermo,38.11127,13.3534422,753
1880,8,2273,steamboat,sicily,Palermo,38.11127,13.3534422,753
1881,115,24230,vessel,sicily,Palermo,38.11127,13.3534422,753
1881,8,1684,steamboat,sicily,Palermo,38.11127,13.3534422,753
1882,136,26334,vessel,sicily,Palermo,38.11127,13.3534422,753
1882,6,2229,steamboat,sicily,Palermo,38.11127,13.3534422,753
1883,116,19842,vessel,sicily,Palermo,38.11127,13.3534422,753
1883,16,10459,steamboat,sicily,Palermo,38.11127,13.3534422,753
1884,129,27445,vessel,sicily,Palermo,38.11127,13.3534422,753
1884,29,16495,steamboat,sicily,Palermo,38.11127,13.3534422,753
1885,135,23545,vessel,sicily,Palermo,38.11127,13.3534422,753
1885,49,25780,steamboat,sicily,Palermo,38.11127,13.3534422,753
1886,147,35098,vessel,sicily,Palermo,38.11127,13.3534422,753
1886,36,14633,steamboat,sicily,Palermo,38.11127,13.3534422,753
1887,157,33043,vessel,sicily,Palermo,38.11127,13.3534422,753
1887,24,10986,steamboat,sicily,Palermo,38.11127,13.3534422,753
1888,144,25592,vessel,sicily,Palermo,38.11127,13.3534422,753
1888,87,17894,steamboat,sicily,Palermo,38.11127,13.3534422,753
1889,134,23544,vessel,sicily,Palermo,38.11127,13.3534422,753
1889,23,7316,steamboat,sicily,Palermo,38.11127,13.3534422,753
1889,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1890,144,23417,vessel,sicily,Palermo,38.11127,13.3534422,753
1890,59,21389,steamboat,sicily,Palermo,38.11127,13.3534422,753
1890,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1891,143,24624,vessel,sicily,Palermo,38.11127,13.3534422,753
1891,46,15440,steamboat,sicily,Palermo,38.11127,13.3534422,753
1891,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1892,131,22228,vessel,sicily,Palermo,38.11127,13.3534422,753
1892,73,27078,steamboat,sicily,Palermo,38.11127,13.3534422,753
1892,,,steamboat,sicily,Palermo,38.11127,13.3534422,753
1893,150,21174,vessel,sicily,Palermo,38.11127,13.3534422,753
1893,78,30957,steamboat,sicily,Palermo,38.11127,13.3534422,753
1893,1,2321,steamboat,sicily,Palermo,38.11127,13.3534422,753
1894,128,17784,vessel,sicily,Palermo,38.11127,13.3534422,753
1894,74,27346,steamboat,sicily,Palermo,38.11127,13.3534422,753
1895,96,15763,vessel,sicily,Palermo,38.11127,13.3534422,753
1895,85,32145,steamboat,sicily,Palermo,38.11127,13.3534422,753
1896,91,15624,vessel,sicily,Palermo,38.11127,13.3534422,753
1896,70,29810,steamboat,sicily,Palermo,38.11127,13.3534422,753
1897,81,12531,vessel,sicily,Palermo,38.11127,13.3534422,753
1897,131,64239,steamboat,sicily,Palermo,38.11127,13.3534422,753
1898,61,8996,vessel,sicily,Palermo,38.11127,13.3534422,753
1898,133,66641,steamboat,sicily,Palermo,38.11127,13.3534422,753
