year,boat,volume,type,country,port,long,lat,distance
1859,187,25500,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1859,2,721,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1859,278,37787,vessel,turkey,Izmir,38.4153421,27.144474,1007
1859,99,48543,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1860,225,28548,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1860,2,604,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1860,314,53605,vessel,turkey,Izmir,38.4153421,27.144474,1007
1860,114,56438,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1861,222,26796,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1861,,,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1861,239,26542,vessel,turkey,Izmir,38.4153421,27.144474,1007
1861,122,54783,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1862,308,31738,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1862,,,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1862,370,43704,vessel,turkey,Izmir,38.4153421,27.144474,1007
1862,159,61419,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1863,212,27341,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1863,,,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1863,297,36399,vessel,turkey,Izmir,38.4153421,27.144474,1007
1863,160,61397,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1864,174,23930,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1864,1,497,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1864,264,35929,vessel,turkey,Izmir,38.4153421,27.144474,1007
1864,162,60924,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1865,173,24052,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1865,,,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1865,218,28733,vessel,turkey,Izmir,38.4153421,27.144474,1007
1865,164,70204,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1866,132,19558,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1866,2,2024,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1866,192,21263,vessel,turkey,Izmir,38.4153421,27.144474,1007
1866,170,76356,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1868,159,22304,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1868,2,904,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1868,178,21219,vessel,turkey,Izmir,38.4153421,27.144474,1007
1868,173,96280,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1869,181,23281,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1869,3,1789,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1869,261,29332,vessel,turkey,Izmir,38.4153421,27.144474,1007
1869,226,125112,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1869,,,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1870,169,27076,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1870,1,695,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1870,316,67496,vessel,turkey,Izmir,38.4153421,27.144474,1007
1870,222,133383,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1870,1,834,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1871,242,29636,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1871,4,2634,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1871,302,49407,vessel,turkey,Izmir,38.4153421,27.144474,1007
1871,226,133024,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1871,1,680,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1871,,,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1872,244,33162,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1872,4,1786,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1872,267,31512,vessel,turkey,Izmir,38.4153421,27.144474,1007
1872,235,139742,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1872,4,2978,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1873,219,27850,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1873,9,5328,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1873,252,26109,vessel,turkey,Izmir,38.4153421,27.144474,1007
1873,231,142483,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1874,256,29479,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1874,52,34102,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1874,203,19731,vessel,turkey,Izmir,38.4153421,27.144474,1007
1874,246,153686,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1875,254,31030,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1875,57,36250,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1875,226,20561,vessel,turkey,Izmir,38.4153421,27.144474,1007
1875,229,147543,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1875,4,4171,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1876,232,28880,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1876,46,31068,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1876,200,18930,vessel,turkey,Izmir,38.4153421,27.144474,1007
1876,236,156209,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1877,261,30143,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1877,31,21761,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1877,205,14565,vessel,turkey,Izmir,38.4153421,27.144474,1007
1877,266,188384,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1877,3,2846,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1877,1,52,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1878,201,26174,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1878,17,10046,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1878,163,18117,vessel,turkey,Izmir,38.4153421,27.144474,1007
1878,340,251868,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1878,2,2189,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1878,,,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1879,171,28795,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1879,7,5223,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1879,199,19291,vessel,turkey,Izmir,38.4153421,27.144474,1007
1879,295,232781,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1880,188,25988,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1880,18,13833,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1880,137,9789,vessel,turkey,Izmir,38.4153421,27.144474,1007
1880,811,289750,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1881,182,24030,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1881,42,22861,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1881,150,11662,vessel,turkey,Izmir,38.4153421,27.144474,1007
1881,306,253828,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1882,242,35736,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1882,14,7095,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1882,157,13526,vessel,turkey,Izmir,38.4153421,27.144474,1007
1882,302,259527,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1883,284,40428,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1883,18,9758,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1883,161,12025,vessel,turkey,Izmir,38.4153421,27.144474,1007
1883,299,240772,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1884,193,34715,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1884,21,11515,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1884,196,16381,vessel,turkey,Izmir,38.4153421,27.144474,1007
1884,286,285945,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1885,170,28535,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1885,19,11332,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1885,165,12585,vessel,turkey,Izmir,38.4153421,27.144474,1007
1885,319,265395,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1886,142,23601,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1886,22,13770,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1886,151,13122,vessel,turkey,Izmir,38.4153421,27.144474,1007
1886,286,230086,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1887,177,24368,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
1887,14,9600,steamboat,greece,Thessaloniki,40.6403167,22.9352716,1056
1887,149,18028,vessel,turkey,Izmir,38.4153421,27.144474,1007
1887,329,264783,steamboat,turkey,Izmir,38.4153421,27.144474,1007
1888,131,16095,vessel,greece,Thessaloniki,40.6403167,22.9352716,1056
