Austria vessels,4527,118828
steamboat,591,75388
Italy vessels,1444,79720
steamboat,303,97741
greece vessels,256,29479
steamboat,52,34102
Mediterranean France vessels,153,43203
steamboat,53,26186
Atlantic France vessels,108,42418
steamboat,7,6122
Algeria vessels,12,3859
steamboat,1,449
Spain steamboat,1,667
Portugal vessels,2,488
UK – Malta vessels,17,2078
steamboat,3,2811
Uk _ Gibraltar steamboat,,
UK – vessels,9,2697
steamboat,79,84841
Low Countries vessel,3,609
Hamburg,4,571
Sweden and Norway,2,253
Russia Baltic sea vessels,2,314
steamboat,,
Russia Black sea vessels,3,852
steamboat,7,7738
Turkey vessels,203,19731
steamboat,246,153686
Moldavia vessels,2,546
steamboat,,
Valacchia vessels,1,253
steamboat,,
Egypt vessels,29,10354
steamboat,55,66469
Tunisia,3,873
USA vessels,20,8719
steamboat,10,10070
Brazil vessels,61,11625
steamboat,1,654
Asian UK steamboat,17,18860
,,
,,
total vessels,6861,875970
total steamboat,1426,585284
total general,8287,961254
